,DAY,DATA_SOURCE,AVG_QUERY_TIME_S
85,01/03/2020,facebook_ads,16.8481
100,02/03/2020,facebook_ads,7.909820672
8,02/03/2020,adwords,11.68807692
108,03/03/2020,facebook_ads,3.421653187
12,03/03/2020,adwords,9.070422222000001
103,04/03/2020,facebook_ads,6.202210416000001
17,04/03/2020,adwords,9.759928934
96,05/03/2020,facebook_ads,6.080674118999999
11,05/03/2020,adwords,7.503490566
95,06/03/2020,facebook_ads,3.992054845
20,06/03/2020,adwords,5.65432538
89,07/03/2020,facebook_ads,2.984456897
0,07/03/2020,adwords,7.307
16,09/03/2020,adwords,6.634309783
102,09/03/2020,facebook_ads,2.700050584
104,10/03/2020,facebook_ads,2.8056014489999996
18,10/03/2020,adwords,8.180722222
98,11/03/2020,facebook_ads,3.6014
10,11/03/2020,adwords,6.8631809520000004
3,12/03/2020,adwords,8.215454545
99,12/03/2020,facebook_ads,3.9041447189999996
101,13/03/2020,facebook_ads,10.03531863
2,13/03/2020,adwords,4.0222
86,14/03/2020,facebook_ads,3.306
88,15/03/2020,facebook_ads,13.21716667
9,16/03/2020,adwords,12.52485263
94,16/03/2020,facebook_ads,10.89243166
19,17/03/2020,adwords,9.644948171000001
106,17/03/2020,facebook_ads,5.856063221
5,18/03/2020,adwords,5.824915493
91,18/03/2020,facebook_ads,6.096867725
93,19/03/2020,facebook_ads,3.91878058
4,19/03/2020,adwords,5.457085106
90,20/03/2020,facebook_ads,1.820046584
6,20/03/2020,adwords,3.163662791
92,25/02/2020,facebook_ads,5.98875565
14,25/02/2020,adwords,8.92388125
107,26/02/2020,facebook_ads,39.52218999
13,26/02/2020,adwords,4.234293706
15,27/02/2020,adwords,7.483274286
105,27/02/2020,facebook_ads,5.452699292999999
7,28/02/2020,adwords,12.07959091
97,28/02/2020,facebook_ads,8.329727144
87,29/02/2020,facebook_ads,9.838761905
1,29/02/2020,adwords,8.6725
